ativo,margem
ABEVV104,0.62
CMIGR105,2.53
IRBRR350,21.69
RAIZA130,0.44
ABEVV105W1,0.60
CMIGR107,2.68
IRBRR400,25.63
RAIZA135,0.41
ABEVV105W2,0.66
CMIGR11,3.00
IRBRR500,33.73
RAIZA140,0.38
ABEVV105W4,0.76
CMIGR110,2.84
IRBRR600,42.03
RAIZA149,0.33
ABEVV105W5,0.80
CMIGR115,3.16
IRBRT399,26.42
RAIZA160,0.29
ABEVV109,0.97
CMIGR117,3.32
IRBRT500,34.45
RAIZA650,0.96
ABEVV110,0.79
CMIGR120,3.49
IRBRT600,42.64
RAIZA700,0.92
ABEVV110W1,1.03
CMIGR122,3.66
IRBRU445W4,23.16
RAIZA750,0.87
ABEVV110W2,1.06
CMIGR125,3.83
IRBRU450W4,23.66
RAIZA800,0.83
ABEVV110W4,1.11
CMIGR127,4.01
IRBRU455W4,24.16
RAIZA850,0.78
ABEVV110W5,1.14
CMIGR129,4.18
IRBRU460W4,24.66
RAIZA900,0.74
ABEVV112,1.17
CMIGR132,4.37
IRBRU465W4,25.16
RAIZA950,0.70
ABEVV114,1.39
CMIGR136,4.73
IRBRU470W4,25.66
RAIZA99,0.65
ABEVV115W1,1.50
CMIGR139,4.92
IRBRU475W4,26.16
RAIZF200,0.31
ABEVV115W2,1.50
CMIGR142,5.10
IRBRU480W4,26.66
RAIZG100,0.75
ABEVV115W4,1.52
CMIGR144,5.29
IRBRU485W4,27.16
RAIZG110,0.69
ABEVV115W5,1.53
CMIGR147,5.48
IRBRU490,33.89
RAIZG120,0.63
ABEVV117,1.61
CMIGR152,5.87
IRBRU490W4,27.66
RAIZG130,0.58
ABEVV119,1.84
CMIGR156,6.26
IRBRU495W4,28.16
RAIZG140,0.53
ABEVV120W1,2.00
CMIGR159,6.46
IRBRU500W4,28.66
RAIZG150,0.49
ABEVV120W2,1.98
CMIGR161,6.66
IRBRV365,15.50
RAIZG160,0.45
ABEVV120W4,1.96
CMIGR166,7.06
IRBRV370,15.96
RAIZG170,0.42
ABEVV120W5,1.96
CMIGR172,7.47
IRBRV375,16.42
RAIZG180,0.39
ABEVV123,2.07
CMIGR174,7.67
IRBRV380,16.89
RAIZG20,0.34
ABEVV124,2.31
CMIGR177,7.88
IRBRV385,17.35
RAIZG210,0.31
ABEVV125W1,2.49
CMIGR179,8.08
IRBRV390,17.82
RAIZH13,0.61
ABEVV125W2,2.47
CMIGR182,8.29
IRBRV395,18.29
RAIZH20,0.36
ABEVV125W4,2.43
CMIGR184,8.50
IRBRV400,18.76
RAIZI16,0.50
ABEVV125W5,2.42
CMIGR187,8.71
IRBRV402,19.00
