ativo,margem
IRBRK475W1,"34,02"
RAILL144,"9,59"
ABEVK134,"1,04"
CMIGS10,"2,22"
IRBRK475W2,"35,10"
RAILL146,"9,41"
ABEVK135W1,"0,79"
CMIGS101,"2,50"
IRBRK477,"35,72"
RAILL149,"9,24"
ABEVK135W2,"0,88"
CMIGS104,"2,65"
IRBRK480,"35,54"
RAILL151,"9,07"
ABEVK609,"7,68"
CMIGS107,"2,81"
IRBRK480W1,"33,64"
RAILL154,"8,90"
ABEVK629,"7,49"
CMIGS11,"2,98"
IRBRK480W2,"34,74"
RAILL156,"8,73"
ABEVK646,"7,19"
CMIGS111,"3,14"
IRBRK485,"35,20"
RAILL159,"8,57"
ABEVK649,"7,29"
CMIGS114,"3,31"
IRBRK485W1,"33,26"
RAILL164,"8,24"
ABEVK666,"6,99"
CMIGS116,"3,48"
IRBRK485W2,"34,38"
RAILL166,"8,09"
ABEVK669,"7,09"
CMIGS12,"3,66"
IRBRK490,"34,86"
RAILL169,"7,93"
ABEVK686,"6,80"
CMIGS122,"3,83"
IRBRK490W1,"32,88"
RAILL170,"8,40"
ABEVK689,"6,90"
CMIGS125,"4,01"
IRBRK490W2,"34,02"
RAILL171,"7,78"
ABEVK706,"6,60"
CMIGS127,"4,19"
IRBRK495,"34,52"
RAILL174,"7,63"
ABEVK709,"6,70"
CMIGS13,"4,37"
IRBRK495W1,"32,50"
RAILL176,"7,49"
ABEVK726,"6,40"
CMIGS132,"4,56"
IRBRK495W2,"33,66"
RAILL179,"7,34"
ABEVK729,"6,50"
CMIGS135,"4,74"
IRBRK500,"34,18"
RAILL181,"7,20"
ABEVK746,"6,21"
CMIGS137,"4,93"
IRBRK500W1,"32,13"
RAILL184,"7,06"
ABEVK749,"6,31"
CMIGS139,"5,12"
IRBRK500W2,"33,31"
RAILL186,"6,93"
ABEVK766,"6,01"
CMIGS142,"5,32"
IRBRK510,"33,52"
RAILL189,"6,79"
ABEVK769,"6,11"
CMIGS144,"5,51"
IRBRK510W1,"31,39"
RAILL191,"6,66"
ABEVK786,"5,81"
CMIGS146,"5,70"
IRBRK510W2,"32,62"
RAILL194,"6,53"
ABEVK789,"5,91"
CMIGS151,"6,10"
IRBRK520,"32,86"
RAILL196,"6,40"
ABEVK806,"5,62"
CMIGS156,"6,50"
IRBRK520W1,"30,67"
RAILL199,"6,28"
ABEVK809,"5,72"
CMIGS16,"6,70"
IRBRK520W2,"31,94"
RAILL201,"6,15"
ABEVK826,"5,42"
CMIGS162,"6,90"
IRBRK530,"32,22"
RAILL206,"5,91"
ABEVK829,"5,52"
CMIGS164,"7,10"
IRBRK530W1,"29,95"
RAILL211,"5,68"
ABEVK846,"5,23"
CMIGS167,"7,31"
IRBRK530W2,"31,26"
RAILL216,"5,46"
ABEVK849,"5,32"
CMIGS17,"7,51"
IRBRK540,"31,58"
RAILL221,"5,25"
ABEVK866,"5,03"
CMIGS172,"7,72"
IRBRK540W1,"29,25"
RAILL226,"5,04"
ABEVK869,"5,13"
CMIGS174,"7,92"
IRBRK540W2,"30,60"
RAILL824,"14,84"
ABEVK886,"4,83"
CMIGS177,"8,13"
IRBRK550,"30,96"
RAILL844,"14,65"
ABEVK889,"4,93"
CMIGS18,"8,34"
IRBRK550W2,"29,95"
RAILL864,"14,47"
ABEVK900W2,"4,67"
CMIGS182,"8,54"
IRBRK560,"30,35"
